1,ZZ5S,-6.954671,107.652154
2,ZZ66,-6.940613,107.65874
3,4781,-6.932484,107.664019
4,6281,-6.90578,107.618438
5,5118,-6.913318,107.633713
6,1583,-6.899523,107.597201
7,1153,-6.899289,107.627134
8,4290,-6.923567,107.627867
9,5331,-6.967234,107.638894
10,6402,-6.939974,107.642112
11,4066,-6.9258,107.711136
12,A769,-6.90978,107.597666
13,6139,-6.8898635,109.3797594
14,6295,-6.8928226,109.4058563
15,5593,-6.858137,109.1317101
16,1656,-6.983058,109.146059
17,A309,-6.983422,109.1476175
18,5605,-7.365035,110.514156
19,4260,-7.31168,110.491196
20,1785,-7.34325,110.510391
21,ZZ5Z,-7.330994,110.494591
22,4393,-7.330994,110.494591
23,4945,-7.3202994,110.503436
24,4097,-7.349191,110.51222
25,6006,-7.398456,110.513602
26,A822,-7.797449,110.379549
27,A823,-7.801068,110.327193
28,5250,-7.780904,110.4144223
29,2034,-7.7508104,110.3723212
30,A332,-7.8140583,110.2824133
31,A008,-7.7397993,110.3303585
32,5028,-7.806235,110.338428
33,A226,-7.8166674,110.3485184
34,1578,-7.800715,110.349855
35,1514,-7.7438,110.373738
36,6536,-7.7300913,110.3949912
37,4763,-7.6983297,110.4165922
38,4947,-7.752635,110.442221
39,A090,-7.729518,110.3260848
40,4784,-7.731229,110.332438
41,3528,-7.819273,110.355906
42,ZZ6Q,-7.753744,110.360932
43,6895,-7.751221,110.362558
44,3893,-7.82546,110.373609
45,4187,-7.7342735,110.3753651
46,3224,-7.824099,110.378351
47,8892,-7.754367,110.38393
48,1351,-7.816502,110.386676
49,8198,-7.801756,110.389626
50,6890,-7.809463,110.40323
51,2035,-7.688728,110.418732
52,5002,-7.812975,110.267181
53,1621,-7.77339,110.31508
54,4378,-7.8007685,110.344981
55,4866,-7.7474701,110.3537954
56,4783,-7.8501631,110.3610566
57,8320,-7.757748,110.369314
58,1637,-7.796038,110.392485
59,8075,-7.736151,110.394605
60,1764,-7.543571,110.742073
61,A424,-7.860449,110.374356
62,3443,-7.752666,110.269947
63,3164,-7.68652,110.37599
64,3442,-7.710864,110.393543
65,4999,-7.7707318,110.456735
66,A775,-7.725113,110.362433
67,A896,-7.800139,110.351704
68,4762,-7.7085321,110.3544689
69,B046,-7.500155,11095111
70,1754,-6.636634,111.546067
71,A899,0591,-7.816672
72,A892,-7.78341,110.406629
73,A875,-7.801956,110.378456
74,A852,-7.837487,110.474215
75,A824,-7.77502,110.388944
76,6034,-6.97531,110.318348
77,4952,-6.984204,110.3563981
78,4134,-6.9856979,110.3801014
79,A192,-6.9877893,110.3883956
80,5778,-6.9828082,110.4175482
81,6913,-6.972949,110.304191
82,ZZ8U,-6.982232,110.412113
83,8023,-6.989048,110.421191
84,ZZ6J,-6.988739,110.423765
85,ZZBC,-6.990491,110.424125
86,3112,-6.988835,110.393811
87,8652,-6.996044,110.405011
88,H057,-6.996044,110.405011
89,5240,-6.982127,110.43498
90,A774,-7.017376,110.388449
91,6648,-6.986716,110.415617
92,A315,-7.8645421,110.1524044
93,3898,-7.194317,110.426159
94,A089,-7.8170742,110.2459212
95,5027,-7.67569,110.3366845
96,ZZ69,-7.736151,110.394605
97,1915,-7.31168,110.491196
98,ZZ6I,-7.232720482,110.4292917
99,6310,-7.5558313,110.7673455
100,5388,-7.6801405,110.8404316
101,3620,-7.559887,110.760123
102,6258,-7.5749737,110.7842358
103,A477,-7.606594,110.793155
104,3657,-7.606244,110.797996
105,3349,-7.605298,110.819049
106,ZZ6N,-7.605298,110.819049
107,4397,-6.46741,110.830885
108,1111,-7.560036,110.764589
109,6301,-7.5765264,110.7999738
